T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
dad,wassup,little shocker,941cs,1,0,2
j.p,cera,c j,mr. kabuki,0,2,0
based matt,mhmm,little shocker,941cs,0,2,1
the grime reaper,dana,j.p,cera,0,2,1
nimzo,wavebringer,based matt,mhmm,0,2,0
the grime reaper,dana,nimzo,wavebringer,1,0,2
mafia,swiftbass,nimzo,wavebringer,0,-2,-2
fira n ice,c_rez,ham,jet,1,-2,-2
atrioc,argonaut1,red,serenade,1,-2,-2
laham,eliminate,smackledorf007,og asi,1,-2,-2
daicko,syko,flashboy,roukiske,0,-2,-2
pewpewu,sfat,ham,jet,0,-2,-2
carcosa,true dong,red,serenade,0,-2,-2
zeldafreak,shinobi,smackledorf007,og asi,0,-2,-2
housewife,4%,daicko,syko,0,-2,-2
pewpewu,sfat,carcosa,true dong,0,-2,-2
zeldafreak,shinobi,housewife,4%,1,-2,-2
pewpewu,sfat,housewife,4%,0,-2,-2
daicko,syko,fira n ice,c_rez,0,-2,-2
smackledorf007,og asi,atrioc,argonaut1,1,-2,-2
red,serenade,laham,eliminate,0,-2,-2
ham,jet,flashboy,roukiske,1,-2,-2
daicko,syko,atrioc,argonaut1,0,-2,-2
red,serenade,flashboy,roukiske,1,-2,-2
