T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
ace,epikfaal,rocky,aniolas,1,0,2
kasparv,coen,glory,ares,1,0,2
mint,timemuffinphd,dev,alpha dash,1,0,2
supercat meow,kaese,fauster,alox,1,1,2
craft,way,momspaghetti,feradit,0,2,1
toa,zeppx,slhoka,cyr,1,1,2
pripps,manyula,willy,deathgazer,0,2,0
x1,jomo,sosuk,monopenisguy,0,2,1
maskless,phade,pureskillz,pureevil,1,0,2
armada,android,king funk,jjlinyard,0,2,0
frozenlight1337,däumling,makenshi,baxon,0,2,1
chudat,reaper,rocky,aniolas,0,2,0
samplay,mahie,glory,ares,1,0,2
overtriforce,trif,dev,alpha dash,0,2,0
vanity angel,r23,schlimmshady,jim,0,2,0
tekk,fuzzyness,fauster,alox,0,2,0
phex,pasi,clemens,ramon,1,1,2
ice,professor pro,craft,way,0,2,0
brtarolg,luigo,blaze,yomi,1,1,2
zgetto,adamayonmike,slhoka,cyr,0,2,0
prinz,kellner,pripps,manyula,0,2,0
n0ne,the moon,x1,jomo,0,2,0
mistrrlove,imperfect,zoler,random-ness,1,0,2
amsah,jeapie,pureskillz,pureevil,0,2,0
leffen,yabasta,kiw1,timi,1,-1,0
armada,android,frozenlight1337,däumling,0,2,0
chudat,reaper,glory,ares,0,2,0
overtriforce,trif,vanity angel,r23,0,2,1
tekk,fuzzyness,clemens,ramon,0,2,1
ice,professor pro,blaze,yomi,0,2,1
zgetto,adamayonmike,prinz,kellner,1,0,2
n0ne,the moon,zoler,random-ness,0,2,0
amsah,jeapie,kiw1,timi,0,2,0
armada,android,chudat,reaper,0,2,0
overtriforce,trif,tekk,fuzzyness,0,2,0
ice,professor pro,prinz,kellner,0,2,0
n0ne,the moon,amsah,jeapie,1,0,2
armada,android,overtriforce,trif,0,3,0
ice,professor pro,amsah,jeapie,0,3,1
armada,android,ice,professor pro,0,3,0
armada,android,ice,professor pro,0,3,0
king funk,jjlinyard,momspaghetti,feradit,1,0,2
rocky,aniolas,toa,zeppx,0,2,0
samplay,mahie,willy,deathgazer,0,2,1
dev,alpha dash,sosuk,monopenisguy,0,2,1
fauster,alox,maskless,phade,0,2,1
craft,way,okameed,soy,0,2,0
slhoka,cyr,ace,epikfaal,1,-2,-2
pripps,manyula,kasparv,coen,1,1,2
x1,jomo,mint,timemuffinphd,1,0,2
pureskillz,pureevil,supercat meow,kaese,0,2,0
momspaghetti,feradit,makenshi,baxon,1,0,2
rocky,aniolas,samplay,mahie,1,1,2
dev,alpha dash,schlimmshady,jim,0,2,0
fauster,alox,phex,pasi,1,1,2
craft,way,brtarolg,luigo,1,1,2
ace,epikfaal,kasparv,coen,1,0,2
mint,timemuffinphd,mistrrlove,imperfect,0,2,1
pureskillz,pureevil,leffen,yabasta,0,0,-1
kiw1,timi,makenshi,baxon,0,2,1
zoler,random-ness,samplay,mahie,0,2,1
zgetto,adamayonmike,dev,alpha dash,0,2,0
blaze,yomi,phex,pasi,1,0,2
clemens,ramon,brtarolg,luigo,0,2,0
vanity angel,r23,kasparv,coen,0,2,0
glory,ares,mint,timemuffinphd,1,1,2
frozenlight1337,däumling,pureskillz,pureevil,1,0,2
kiw1,timi,zoler,random-ness,1,1,2
zgetto,adamayonmike,phex,pasi,0,2,1
clemens,ramon,vanity angel,r23,1,1,2
mint,timemuffinphd,pureskillz,pureevil,0,2,0
tekk,fuzzyness,zoler,random-ness,1,1,3
chudat,reaper,zgetto,adamayonmike,0,2,1
n0ne,the moon,vanity angel,r23,0,2,1
prinz,kellner,mint,timemuffinphd,1,1,2
zoler,random-ness,chudat,reaper,1,0,3
n0ne,the moon,mint,timemuffinphd,0,3,1
amsah,jeapie,chudat,reaper,1,1,3
overtriforce,trif,n0ne,the moon,0,3,2
chudat,reaper,overtriforce,trif,1,2,3
ice,professor pro,overtriforce,trif,0,3,1
