T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
mums,zíng,timi,ministry,1,0,2
abate,blayd,lolex,glaz,0,2,0
abate,blayd,husbrann,ebd,0,2,0
abate,blayd,mums,zíng,0,2,0
abate,blayd,kexmannen,leering,0,2,0
abate,blayd,mo,layabout,0,2,0
abate,blayd,timi,ministry,0,2,1
kexmannen,leering,lolex,glaz,1,0,2
kexmannen,leering,husbrann,ebd,1,0,2
mo,layabout,mums,zíng,0,2,0
mo,layabout,kexmannen,leering,0,2,0
mo,layabout,timi,ministry,1,0,2
timi,ministry,lolex,glaz,0,2,0
timi,ministry,husbrann,ebd,0,2,0
timi,ministry,kexmannen,leering,0,2,0
mahie,baxon,gabytime,kcg,0,2,0
yuna,rpg,rbm,oldiz,0,2,0
bësti,peliq,deathgazer,gk_,0,2,1
padoki,gndy,20fu,glockodile,0,2,0
mahie,baxon,rbm,oldiz,0,2,0
gabytime,kcg,deathgazer,gk_,0,2,0
yuna,rpg,20fu,glockodile,0,2,0
bësti,peliq,padoki,gndy,1,0,2
mahie,baxon,deathgazer,gk_,0,2,0
rbm,oldiz,20fu,glockodile,0,2,0
gabytime,kcg,padoki,gndy,1,1,2
yuna,rpg,bësti,peliq,0,2,1
mahie,baxon,20fu,glockodile,0,2,0
deathgazer,gk_,padoki,gndy,1,1,2
rbm,oldiz,bësti,peliq,1,0,2
gabytime,kcg,yuna,rpg,1,0,2
mahie,baxon,padoki,gndy,0,2,0
20fu,glockodile,bësti,peliq,1,0,2
deathgazer,gk_,yuna,rpg,1,0,2
rbm,oldiz,gabytime,kcg,1,0,2
mahie,baxon,bësti,peliq,0,2,0
padoki,gndy,yuna,rpg,1,0,2
20fu,glockodile,gabytime,kcg,1,0,2
deathgazer,gk_,rbm,oldiz,0,2,0
mahie,baxon,yuna,rpg,0,2,0
bësti,peliq,gabytime,kcg,0,2,1
padoki,gndy,rbm,oldiz,0,2,0
20fu,glockodile,deathgazer,gk_,1,0,2
imperfect,vdogg,polisen,rev,0,2,0
prosmashertim,kaese,bomb,bez,0,2,0
meteora,reverb,zee,shais young,1,0,2
stelzig,eagle,polisen,rev,0,2,0
imperfect,vdogg,zee,shais young,0,-2,-2
prosmashertim,kaese,meteora,reverb,0,-2,-2
stelzig,eagle,bomb,bez,0,2,1
polisen,rev,zee,shais young,1,0,2
imperfect,vdogg,prosmashertim,kaese,0,-2,-2
stelzig,eagle,zee,shais young,0,-2,-2
bomb,bez,meteora,reverb,0,2,0
polisen,rev,prosmashertim,kaese,1,0,2
stelzig,eagle,meteora,reverb,0,2,0
zee,shais young,prosmashertim,kaese,0,2,1
bomb,bez,imperfect,vdogg,1,-2,-2
stelzig,eagle,prosmashertim,kaese,0,-2,-2
meteora,reverb,imperfect,vdogg,1,-2,-2
bomb,bez,polisen,rev,0,2,0
stelzig,eagle,imperfect,vdogg,0,2,1
meteora,reverb,polisen,rev,0,2,1
zee,shais young,bomb,bez,1,1,2
k-12,flikkflakk,moe,g,0,-2,-2
kriz,schlimmshady,momspaghetti,feradit,0,2,1
hara,spider,moosie,téabone,0,2,0
draz,bapmoney,tenwa,gustavo,0,2,0
k-12,flikkflakk,momspaghetti,feradit,0,2,0
moe,g,moosie,téabone,0,-2,-2
kriz,schlimmshady,tenwa,gustavo,0,2,0
hara,spider,draz,bapmoney,1,1,2
k-12,flikkflakk,moosie,téabone,0,2,0
momspaghetti,feradit,tenwa,gustavo,0,2,0
moe,g,draz,bapmoney,0,-2,-2
kriz,schlimmshady,hara,spider,0,2,0
k-12,flikkflakk,tenwa,gustavo,0,2,0
moosie,téabone,draz,bapmoney,1,1,2
momspaghetti,feradit,hara,spider,0,2,1
moe,g,kriz,schlimmshady,0,-2,-2
