P1, P2, set winner
darkshadlegend,lordtoko,0
mickel,- glish -,0
calculus,earlofm,0
scooter388,shimmer,0
darkshadlegend,mickel,0
calculus,scooter388,0
darkshadlegend,calculus,1
shimmer,falchionpunch,0
earlofm,daga,0
- glish -,xato,0
lordtoko,bolt,0
shimmer,earlofm,1
- glish -,lordtoko,0
mickel,earlofm,0
scooter388,- glish -,0
mickel,scooter388,1
darkshadlegend,scooter388,0
thursday,heinzerling,0
tec_chase,kasino,0
chiefchickenwing,deadinside,0
jayrodd,crusticus,1
dath,thursday,0
arc,tec_chase,0
filip,chiefchickenwing,0
sheen,crusticus,0
dath,arc,1
filip,sheen,0
arc,filip,1
crusticus,heinzerling,0
chiefchickenwing,kasino,1
tec_chase,deadinside,0
thursday,jayrodd,0
crusticus,kasino,0
tec_chase,thursday,0
dath,crusticus,0
sheen,tec_chase,0
dath,sheen,0
arc,dath,0
abendrake,op,1
curry,aura,1
tarn,turkish delight,0
y.greek,boneless,1
captainzack,op,0
talazar,aura,1
bc luck,tarn,0
regralht,boneless,0
captainzack,aura,0
bc luck,regralht,1
captainzack,regralht,0
boneless,abendrake,0
tarn,curry,0
talazar,turkish delight,0
op,y.greek,1
boneless,tarn,0
talazar,y.greek,1
aura,boneless,0
bc luck,y.greek,0
aura,bc luck,0
regralht,aura,0
pb2k,peiweisgreat,1
wooper,navi,0
blacktactiks,rickles,1
hvc_freakzoid9000,dracish,0
kie,peiweisgreat,0
mqtak,wooper,1
jester,rickles,0
bane ,hvc_freakzoid9000,0
kie,wooper,0
jester,bane ,0
kie,jester,0
hvc_freakzoid9000,pb2k,0
rickles,navi,0
mqtak,blacktactiks,1
peiweisgreat,dracish,0
hvc_freakzoid9000,rickles,0
blacktactiks,peiweisgreat,0
wooper,hvc_freakzoid9000,1
bane ,blacktactiks,1
hvc_freakzoid9000,blacktactiks,1
jester,blacktactiks,0
eureka,quentendo,0
rubysoul,vishera,1
baumwolle8,countedbeef122,1
shofu,pierce,0
u01,angryalph,1
jjrockets,eureka,0
vishera,countedbeef122,1
weegee,shofu,0
alondite,angryalph,0
jjrockets,countedbeef122,0
weegee,alondite,1
jjrockets,alondite,0
rubysoul,baumwolle8,1
angryalph,quentendo,0
shofu,baumwolle8,0
vishera,pierce,1
eureka,u01,0
angryalph,shofu,1
pierce,eureka,1
countedbeef122,shofu,1
weegee,eureka,0
shofu,weegee,0
alondite,shofu,0
torgle,kannonzz,1
dkg,double a battery,1
hermit,icecreammane97,0
garm,spark,0
tweek,kannonzz,0
nalysis,double a battery,1
#heroxen,hermit,1
aqua,garm,0
tweek,double a battery,0
hermit,aqua,0
tweek,hermit,0
garm,torgle,1
#heroxen,dkg,1
nalysis,icecreammane97,1
kannonzz,spark,0
torgle,dkg,0
icecreammane97,kannonzz,0
double a battery,torgle,0
aqua,icecreammane97,0
double a battery,aqua,1
hermit,aqua,0
wuzyin,truckerchu,1
vivid,peanut,0
big papi,porkmint,0
jark,nuhuh,1
[t.t.d] blacktwins13,truckerchu,0
llany,vivid,1
raffi-x,big papi,1
technology,nuhuh,0
[t.t.d] blacktwins13,vivid,1
big papi,technology,1
vivid,technology,0
nuhuh,wuzyin,0
raffi-x,peanut,1
llany,porkmint,0
truckerchu,jark,1
nuhuh,peanut,0
llany,jark,1
[t.t.d] blacktwins13,nuhuh,0
big papi,jark,1
[t.t.d] blacktwins13,jark,0
chazix,arm,1
waldorf,quickslowdown,0
pinju,son-in-law,1
zamu,mesmerist,0
af,damit,1
abadango,arm,0
waldorf,son-in-law,0
fwed,zamu,0
serge,damit,0
abadango,waldorf,0
fwed,serge,0
abadango,fwed,0
quickslowdown,pinju,1
damit,chazix,0
zamu,pinju,0
son-in-law,mesmerist,0
arm,af,1
damit,zamu,0
son-in-law,af,0
waldorf,damit,0
serge,son-in-law,0
waldorf,serge,1
fwed,serge,0
hero,tetsu,1
king_purple,starps,0
zemadrussian,ferg,1
blink,axg•tofu,1
aarvark,tetsu,0
freshyp,king_purple,1
remzi,ferg,0
lourich,axg•tofu,0
aarvark,king_purple,0
remzi,lourich,0
aarvark,remzi,0
axg•tofu,hero,0
ferg,starps,0
freshyp,zemadrussian,1
tetsu,blink,0
axg•tofu,ferg,0
zemadrussian,tetsu,1
king_purple,axg•tofu,1
lourich,tetsu,0
axg•tofu,lourich,1
remzi,lourich,0
onion,deckerstag,1
my dad is so ashamed,1der,1
ceeolm,hydra,1
the bowz,underwolf,1
hoh_venom,deckerstag,0
blarg,1der,0
jt5565,hydra,1
boobear,underwolf,1
hoh_venom,blarg,0
hydra,underwolf,1
hoh_venom,underwolf,0
boobear,onion,1
jt5565,my dad is so ashamed,0
1der,ceeolm,0
deckerstag,the bowz,1
onion,jt5565,1
1der,the bowz,1
blarg,jt5565,1
hydra,the bowz,0
jt5565,hydra,1
underwolf,hydra,0
skm,waffleking,1
hawkward,nen,0
gunta,the rev,0
runthistrain,nihao,0
dyr,waffleking,0
future,hawkward,0
kwaz,gunta,0
fulla,runthistrain,1
dyr,future,0
kwaz,runthistrain,0
dyr,kwaz,0
fulla,skm,1
gunta,nen,0
hawkward,the rev,0
waffleking,nihao,0
skm,gunta,1
hawkward,waffleking,1
future,gunta,1
runthistrain,waffleking,1
gunta,waffleking,0
kwaz,gunta,0
jabber,sensai,0
poco,fantac,0
plums,pika power,0
jppthegreat,galeforce,0
jk,jabber,0
croatian sensation,poco,1
tekno,plums,0
jibca,jppthegreat,0
jk,poco,0
tekno,jibca,0
jk,tekno,0
jppthegreat,sensai,0
plums,fantac,0
