P1, P2, set winner
shadowzw / i am an owl,sneddy / yomi,1
poskii / mf mike,team nick / village mascot,1
duck chris / rumble,ibc / xurk,1
patrick / seabass,kanye rest / roboticphish,1
crip / honeybaked,sneddy / yomi,0
dirty mike / $pud,team nick / village mascot,1
ibc / xurk,kanye rest / roboticphish,1
crip / honeybaked,team nick / village mascot,0
fuzzyness / brtarolg,kanye rest / roboticphish,0
pyro / remix,crip / honeybaked,1
fuzzyness / brtarolg,crip / honeybaked,0
zain / sypherphoenix,fuzzyness / brtarolg,1
brian / legion,moment / surskim,0
zuppy / marko64,dmac / a-wall,0
spy / yor742,jimmypop23 / wowzers,0
af,kid / prozak,0
mew2king / hungrybox,brian / legion,0
buttercup / mustard,colonel dog / thrash,1
freky / yep,zuppy / marko64,1
puddle / vdub,pillars / oven,0
toph / scar,spy / yor742,0
wenbobular / tanwad,dsj / goomy,1
phish-it / emt_sol,af,0
d-money / dream,stewbird / tetsu,1
mew2king / hungrybox,colonel dog / thrash,0
zuppy / marko64,puddle / vdub,1
toph / scar,dsj / goomy,0
phish-it / emt_sol,stewbird / tetsu,0
mew2king / hungrybox,puddle / vdub,0
toph / scar,phish-it / emt_sol,1
mew2king / hungrybox,phish-it / emt_sol,0
mew2king / hungrybox,phish-it / emt_sol,0
d-money / dream,moment / surskim,1
wenbobular / tanwad,dmac / a-wall,0
pillars / oven,jimmypop23 / wowzers,1
buttercup / mustard,kid / prozak,1
moment / surskim,af,1
wenbobular / tanwad,spy / yor742,0
jimmypop23 / wowzers,freky / yep,1
kid / prozak,brian / legion,1
zuppy / marko64,af,0
colonel dog / thrash,wenbobular / tanwad,1
stewbird / tetsu,freky / yep,1
dsj / goomy,brian / legion,0
zuppy / marko64,wenbobular / tanwad,1
freky / yep,dsj / goomy,1
toph / scar,wenbobular / tanwad,0
puddle / vdub,dsj / goomy,0
toph / scar,puddle / vdub,0
phish-it / emt_sol,toph / scar,0
therealthing / figment,hindawg / prz,0
enjoy / lilypad,action master / shabby,1
seeze / by15,peanut / yordy,0
zero fox given / restez,mb-smash / 1der,1
ice / macd,therealthing / figment,0
cobab / null,heck / allyson wonderland,0
milo / kaptinkillem,action master / shabby,0
djstank / cigs,goobershadow / wepeel,1
jflex / zanguzen,seeze / by15,0
datrooph / supermegawalrus,butt zone / fluid,0
snowy / nerin,mb-smash / 1der,0
char / sabelan,dudeofhazardz / rosilius,0
ice / macd,cobab / null,0
milo / kaptinkillem,goobershadow / wepeel,0
jflex / zanguzen,datrooph / supermegawalrus,0
snowy / nerin,char / sabelan,0
ice / macd,milo / kaptinkillem,0
jflex / zanguzen,snowy / nerin,0
ice / macd,jflex / zanguzen,0
ice / macd,jflex / zanguzen,0
dudeofhazardz / rosilius,hindawg / prz,1
