name,finalPlacement
morpheus,1025
lukewarm,1025
tyger,1025
luigi master tae,513
duck,13
lafungo,385
tang it rell,1025
tranimal,193
aly,385
theswooper,193
unkn0wnkami,513
kanye rest,129
rambo nanny,1025
brando550,769
tapiney,513
dragonite,1025
theschmuck33,1025
havoc,1025
dimarx,1025
robotsword,1025
jackzilla,1025
nugget,513
puncayshun,257
dorsh,1025
sweetyjesus,769
lordtoko,1025
mando,1025
tarchwood,513
yoyo,97
ruthy,1025
flood,193
rushhour,1025
tketle,1025
ktpt,1025
dabeazt,769
mundungu,129
jonathan cotto,193
galen the wise,193
kmol,513
kil,1025
dirty mike,385
splash,1025
soy,385
kipz,769
train,1025
bad graphics ghost,513
char,193
astro,769
goonsquad,257
dylswitch,1025
pvtches,1025
popkey,769
hindawg,65
blue,769
android,25
2a4t,385
4%,65
randy butternubs,1025
orana,1537
notkris,1025
d-money,1025
):,1025
the wash,1025
dublat,193
baeblade,97
valkyrie,1025
cake,257
kezzup,769
moment,769
vish,65
everstorm,1025
derfmidwest,129
100 grand,385
cocothunder,513
joeycrzl,129
s2b,129
winmil,1025
waves,513
weissclimbers,513
mf mike,385
other guy,513
masterdong,513
el jefe,513
cweb,769
shysta,1025
yung_life,769
zamn,1537
impy,1025
zeal,513
tabasco,1025
slag,513
kerp,769
yung zunga,385
2jayys,769
slippy,769
emodinosaur,257
hellsingulh,129
moonpanda,385
cottons,385
rubica,1025
teardispenser,1025
cheez dragon,1025
charlie,257
mesmerist,1025
ycz6,65
vinje,1025
lonebutterfish,129
kason,257
wowzers,513
spy,385
buttercup,513
yor742,1025
tdude51,769
providerofsouls,1025
snake master,1025
vallarris,1025
dirty socks,1025
ilikeswamperts,1025
proc,769
blitzbolt,513
nu,257
tequila,769
jembosa,1025
icy,257
pilzlotta,1025
ctrlaltdefeat,257
mkultra,1025
i3njamin,769
pono,769
aperture,513
galeforce,769
sam,1025
zhea,385
yordy,193
azula,1025
r2,513
oro?!,257
flwns,769
aml,1025
angelaanaconda,1025
mac,1025
robotnick,1025
yort,129
skrai,513
pulver,1025
aaronscaring,385
emt_sol,193
iateyourpie,193
pgh carroll,129
breezy,193
aghi,513
corn,769
treetz,257
scoback,513
gothoesinareacodes,513
els3y,1537
jakejam,1025
phaedrus,769
truckasaurus,513
high-c,769
negrodomus,1025
imyt,129
hq,769
griffith,129
danku,1025
joat,1025
pr0tein,257
kingquiggles,257
crispy t.,769
sunshine,513
yogi backair,1025
laudandus,33
king james,1025
d. disciple,769
djniinii,769
jaaj,1025
ryko,1025
gravity,769
stretch,1025
smoe,1025
medical chicken,1025
pi,65
cob,65
mrboffo,257
jayrodd,1025
suck,769
quentendo,1025
hestoned,769
batteriez,1025
kip,385
420bonglord,1025
toe,513
notsocrazy,513
