P1, P2, set winner
pvtches,rumble,1
hrsalt,snak37,0
hoogsen,ladies,0
village mascot,rumble,0
hrsalt,hoogsen,1
c#,village mascot,1
cava,hoogsen,0
village mascot,cava,1
cookiemonsta,cava,0
cwhit,plasmius,0
farko,shabman productions,0
lorenzo,rattmogers,1
unkn0wnkami,dad,1
yoyo,cwhit,0
popkey,farko,1
emt_sol,rattmogers,0
slowking,dad,0
yoyo,farko,0
emt_sol,slowking,0
yoyo,emt_sol,0
dad,plasmius,0
rattmogers,shabman productions,1
popkey,lorenzo,0
cwhit,unkn0wnkami,1
dad,shabman productions,0
popkey,unkn0wnkami,1
farko,dad,0
slowking,unkn0wnkami,0
farko,slowking,1
emt_sol,slowking,0
tsuinami,duff,0
led free,mrboffo,1
garm,bb,0
kilo,kinglewi,1
crunch,tsuinami,0
toss event,mrboffo,1
tm,garm,0
gangly,kinglewi,0
crunch,mrboffo,0
tm,gangly,0
crunch,tm,0
kinglewi,duff,1
garm,led free,1
toss event,bb,1
tsuinami,kilo,0
duff,led free,1
bb,tsuinami,0
mrboffo,led free,0
gangly,bb,1
mrboffo,bb,0
tm,mrboffo,0
maybe,supermrjmt,0
hunter,sasha,1
bajur,acorn,0
brum,duck chris,1
wobbles,maybe,0
knoll,sasha,1
i4n,bajur,0
citizen snips,duck chris,0
wobbles,sasha,0
i4n,citizen snips,0
wobbles,i4n,0
duck chris,supermrjmt,1
bajur,hunter,1
knoll,acorn,0
maybe,brum,0
supermrjmt,hunter,1
knoll,maybe,1
sasha,hunter,0
citizen snips,maybe,1
sasha,maybe,1
i4n,maybe,0
yor742,light,1
lxix,88,0
chango,k-c,0
drill,suess,1
wizzrobe,light,0
kliner,lxix,1
wakenvape,chango,1
doodler,suess,1
wizzrobe,lxix,0
chango,suess,1
wizzrobe,suess,0
doodler,yor742,0
wakenvape,88,1
kliner,k-c,1
light,drill,0
doodler,88,0
k-c,light,1
lxix,doodler,0
chango,light,0
lxix,chango,0
suess,lxix,0
c_mill24,hvac,1
goobershadow,bushels,0
gnarly,we-g,0
allen,steez,0
dj nintendo,hvac,0
@ashkon_,goobershadow,0
| nakamaman,gnarly,0
eggy,allen,0
dj nintendo,@ashkon_,0
| nakamaman,eggy,0
dj nintendo,| nakamaman,1
allen,c_mill24,0
gnarly,bushels,0
goobershadow,we-g,0
hvac,steez,0
allen,gnarly,0
goobershadow,hvac,1
@ashkon_,allen,1
eggy,hvac,0
allen,eggy,1
dj nintendo,eggy,0
quentendo,log,1
squeakie,mellamo,0
zo9ine,red-white,0
ptet,calvin,0
westballz,log,0
notsocrazy,squeakie,0
law,zo9ine,0
paz,ptet,0
westballz,notsocrazy,0
law,paz,1
westballz,paz,0
ptet,quentendo,0
zo9ine,mellamo,1
squeakie,red-white,0
log,calvin,0
ptet,mellamo,1
squeakie,log,0
notsocrazy,mellamo,1
law,squeakie,0
mellamo,law,1
paz,law,0
aiya,jon dog,0
classywolfman,yankee,1
marbleblaster,naythin,0
stif,ponj,0
wenbobular,aiya,0
sharkkangaroo,yankee,1
fireflyhi,marbleblaster,0
fern,stif,0
wenbobular,yankee,0
fireflyhi,fern,0
wenbobular,fireflyhi,0
stif,jon dog,0
marbleblaster,classywolfman,0
sharkkangaroo,naythin,1
aiya,ponj,0
stif,marbleblaster,0
naythin,aiya,1
yankee,stif,0
fern,aiya,0
yankee,fern,0
fireflyhi,yankee,0
muchomario,jesus,1
xf awkward,timemuffin,0
vondo,g-sus,0
bees?,nala,1
darkatma,jesus,0
bakinshake,xf awkward,1
bigwenz,vondo,0
magicubed,nala,0
darkatma,xf awkward,0
bigwenz,magicubed,1
darkatma,magicubed,0
nala,muchomario,0
vondo,timemuffin,0
bakinshake,g-sus,0
jesus,bees?,0
nala,vondo,0
bakinshake,jesus,1
xf awkward,nala,0
bigwenz,jesus,0
xf awkward,bigwenz,1
magicubed,bigwenz,0
kipz,wonderbread,1
jaaj,savior,1
bruisingprune,jbash,1
bantler,dylswitch,1
darrell,wonderbread,0
mrhappy,savior,0
reesch,jbash,0
goomy,dylswitch,0
darrell,mrhappy,0
reesch,goomy,1
darrell,goomy,0
dylswitch,kipz,1
jbash,jaaj,0
savior,bruisingprune,0
wonderbread,bantler,0
kipz,jbash,1
savior,wonderbread,1
mrhappy,jbash,1
reesch,wonderbread,0
jbash,reesch,1
goomy,reesch,0
thechocolatelava,black pit,0
l3375,team nick,1
rewind,zeta,1
kups,kerp,1
vish,thechocolatelava,0
indy,team nick,1
paper,zeta,0
xyk,kerp,0
vish,team nick,0
paper,xyk,0
vish,paper,0
kerp,black pit,0
zeta,l3375,0
indy,rewind,0
thechocolatelava,kups,0
kerp,zeta,1
indy,thechocolatelava,0
team nick,zeta,0
xyk,indy,0
team nick,xyk,0
paper,team nick,0
safety1st,bobalu,1
adct,kounotori,0
big brother,thetruetides,1
aghi,void,1
nap,genericgamer,0
spud,bobalu,0
adct,thetruetides,0
onisser,void,0
seaghost,nap,0
spud,adct,0
onisser,seaghost,0
spud,onisser,0
kounotori,big brother,1
nap,safety1st,0
void,big brother,0
thetruetides,aghi,1
bobalu,genericgamer,0
nap,void,1
aghi,bobalu,0
adct,void,1
seaghost,aghi,0
void,seaghost,0
onisser,void,0
sapoc,countedbeef122,0
cat wrestler,goya beans x,1
island,ryan,1
catelt,barrage,0
spark,sapoc,0
dyce,goya beans x,1
borp,ryan,0
brett3,catelt,1
spark,goya beans x,0
borp,catelt,0
spark,borp,0
brett3,countedbeef122,1
ryan,cat wrestler,1
dyce,island,1
sapoc,barrage,0
countedbeef122,cat wrestler,1
island,sapoc,1
goya beans x,cat wrestler,0
catelt,sapoc,1
goya beans x,sapoc,1
borp,sapoc,0
undies!,suezo,1
notmitch,squidman808,0
migz,empale,1
sevan,stitchface,1
hugs,suezo,0
duo,notmitch,0
snap,empale,0
dfu,stitchface,0
hugs,duo,0
snap,dfu,0
hugs,snap,0
stitchface,undies!,0
empale,squidman808,0
notmitch,migz,0
suezo,sevan,0
stitchface,empale,0
notmitch,suezo,0
duo,stitchface,0
dfu,notmitch,0
duo,dfu,1
snap,dfu,0
the oiler,treyvon tustronk,1
valkyrie,knight,1
shanahan,pikalu,0
teardispenser,swift,0
hungrybox,treyvon tustronk,0
clickclack,knight,1
the brig,shanahan,0
sweet,teardispenser,0
hungrybox,knight,0
the brig,sweet,0
hungrybox,the brig,0
teardispenser,the oiler,1
shanahan,valkyrie,0
clickclack,pikalu,1
treyvon tustronk,swift,0
the oiler,shanahan,1
