T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
chance,dreamm,raijin,jbones,1,1,2
leaf,storm,henroidz,koebeldwill,0,2,0
baddydan,iliad,raijin,jbones,1,0,2
croi,drake,leaf,storm,0,2,0
raijin,jbones,croi,drake,0,2,1
2manycooks,alphicans,raijin,jbones,0,2,0
veranibbles,mittens,maritlage227,wakka,1,0,2
tantaco,jakat,trevor,bratic,0,2,0
tantaco,jakat,witeoute,b-millz,0,2,0
dkbill,gains,raziek,aedrenaline,0,2,1
dkbill,gains,sensuell,khal,0,2,1
raziek,aedrenaline,tantaco,jakat,0,2,0
raziek,aedrenaline,dkbill,gains,1,1,2
raziek,aedrenaline,dayzin,k-r-l,0,2,0
witeoute,b-millz,p00t,clown,0,2,0
sensuell,khal,veranibbles,mittens,0,2,0
sensuell,khal,tantaco,jakat,0,2,0
sensuell,khal,white lightning,ghost,0,2,0
maritlage227,wakka,white lightning,ghost,0,2,1
dayzin,k-r-l,p00t,clown,0,2,0
dayzin,k-r-l,trevor,bratic,0,2,0
dayzin,k-r-l,maritlage227,wakka,0,2,0
c3po,larry lurr,dkbill,gains,0,-2,-2
c3po,larry lurr,dkbill,gains,0,2,1
c3po,larry lurr,maritlage227,wakka,0,2,0
c3po,larry lurr,dunston,pixie,0,2,0
dunston,pixie,raziek,aedrenaline,1,0,2
